SHIPMENT_STATUS
SHIPMENT_GID,STATUS_TYPE_GID,STATUS_VALUE_GID,DOMAIN_NAME
OTM/A032.3208719294,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719312,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719228,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719230,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719229,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719667,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719663,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719740,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719738,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719643,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719642,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719655,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719654,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719745,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208719748,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208632098,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208632102,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612689,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612774,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208675066,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208632104,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208663909,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208676974,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208676970,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208676966,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208675072,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612267,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612404,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612427,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612429,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612457,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612549,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612575,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612587,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612607,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612654,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612616,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612028,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208611695,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208611780,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208611364,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208611528,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208611016,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208611066,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208610375,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208610648,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612155,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208612090,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208610321,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718835,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718831,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718829,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718841,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718846,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718838,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718839,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718850,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718853,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718848,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718849,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718793,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718790,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718802,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718795,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718807,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718811,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718813,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718816,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718818,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718821,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718825,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718758,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718757,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718752,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718748,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718745,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718776,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718777,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718771,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718774,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718764,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208718765,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208678511,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208678505,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208677809,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208677805,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208678501,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208677816,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208698449,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208698523,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208698542,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
OTM/A032.3208715303,OTM/A032.REVIEWED_SELL,OTM/A032.REVIEWED_SELL_REVIEWED,OTM/A032
